Length
0,394761404
1,17680264
0,768466354
0,126129499
0,053941872
0,839961192
2,835059718
1,260257297
4,418294965
0,737917929
0,28288328
0,40557324
1,384895789
1,412246938
1,811308257
1,586397493
1,056400019
0,657789648
0,060546633
2,092961248
0,043820386
0,241103198
0,268518414
0,60108506
1,073854645
0,148772953
1,280805518
1,197632756
0,011280847
0,797799767
0,143331147
2,601440791
0,035153613
0,763252241
0,052284439
0,193117789
0,316590898
0,658249247
0,055927641
0,678871772
2,318380165
1,910984449
0,51319422
0,232062903
0,176637562
0,639177975
0,588881223
1,715766819
